idx,model_bits/data_samples,data_bits/data_samples,(data_bits+model_bits)/data_samples,data_samples,topology,params,quantization_bits,model_bits
032_010_010_001_08b,0.00036115109530857964,0.165600387348483,0.16596153844379158,7864320.0,032_010_010_001,451,8,2840.2077818571693
032_010_020_001_08b,0.00045568630030988163,0.16039472087286413,0.16085040717317406,7864320.0,032_010_020_001,571,8,3583.6628852530084
032_010_010_001_16b,0.0005046157346201804,0.16272322034152845,0.16322783607614866,7864320.0,032_010_010_001,451,16,3968.4596140881767
032_010_040_001_08b,0.0006556311571493651,0.15568193945412834,0.1563375706112777,7864320.0,032_010_040_001,811,8,5156.093221792895
032_010_020_001_16b,0.0006620845921951528,0.15910613150335848,0.15976821609555364,7864320.0,032_010_020_001,571,16,5206.845100092184
032_020_010_001_08b,0.000678660188424852,0.15166022003007432,0.15233888021849915,7864320.0,032_020_010_001,881,8,5337.200893033332
032_020_020_001_08b,0.0009131235189329854,0.150704908852155,0.151618032371088,7864320.0,032_020_020_001,1101,8,7181.095552415056
032_010_040_001_16b,0.0009906953967438012,0.1552431937928001,0.15623388918954392,7864320.0,032_010_040_001,811,16,7791.145622520211
032_010_080_001_08b,0.0010554850740598194,0.15398036745997767,0.15503585253403748,7864320.0,032_010_080_001,1291,8,8300.672377630119
032_020_010_001_16b,0.001088056109372315,0.15087464530952274,0.15196270141889506,7864320.0,032_020_010_001,881,16,8556.821422058885
032_020_040_001_08b,0.0012905992233042307,0.14523873405220608,0.14652933327551032,7864320.0,032_020_040_001,1541,8,10149.685283815928
032_020_020_001_16b,0.0014064036483983624,0.1494702509449174,0.15087665459331576,7864320.0,032_020_020_001,1101,16,11060.40834017221
032_040_010_001_08b,0.001471267933953826,0.1428168461114789,0.14428811404543276,7864320.0,032_040_010_001,1741,8,11570.521838351753
032_010_080_001_16b,0.0016846373572442285,0.15376826971769333,0.15545290707493756,7864320.0,032_010_080_001,1291,16,13248.52726132293
032_010_160_001_08b,0.0017631680341774851,0.1532758537835131,0.1550390218176906,7864320.0,032_010_160_001,2251,8,13866.11763454268
032_040_020_001_08b,0.0017711829488740434,0.1399712344398722,0.14174241738874624,7864320.0,032_040_020_001,2161,8,13929.149488489116
032_010_010_001_32b,0.0018351236979166669,0.16272868121353287,0.16456380491144956,7864320.0,032_010_010_001,451,32,14432.000000000002
032_020_080_001_08b,0.002027452034729448,0.14495640979148447,0.14698386182621392,7864320.0,032_020_080_001,2421,8,15944.531585763492
032_020_040_001_16b,0.002062370636212026,0.14527753142174332,0.1473399020579554,7864320.0,032_020_040_001,1541,16,16219.142641774963
032_010_020_001_32b,0.0023234049479166673,0.15910730500084658,0.16143070994876324,7864320.0,032_010_020_001,571,32,18272.000000000004
032_040_010_001_16b,0.002366584113311289,0.14265657612122595,0.14502316023453726,7864320.0,032_040_010_001,1741,16,18611.574773996235
032_040_040_001_08b,0.002435855642166861,0.13539553610607982,0.13783139174824666,7864320.0,032_040_040_001,3001,8,19156.34824380569
032_080_010_001_08b,0.002933049911212481,0.13401262272770206,0.13694567263891455,7864320.0,032_080_010_001,3461,8,23066.44307774654
032_040_020_001_16b,0.003008863715701113,0.1394796907513713,0.1424885544670724,7864320.0,032_040_020_001,2161,16,23662.66709666258
032_010_160_001_16b,0.003140843875386665,0.15425690378372867,0.15739774765911535,7864320.0,032_010_160_001,2251,16,24700.60130608086
032_010_040_001_32b,0.0032999674479166673,0.15524296139677365,0.15854292884469032,7864320.0,032_010_040_001,811,32,25952.000000000004
032_020_160_001_08b,0.003336375894849813,0.13671412700787186,0.14005050290272167,7864320.0,032_020_160_001,4181,8,26238.32767738528
032_010_320_001_08b,0.003353879238156168,0.14715392529809224,0.15050780453624846,7864320.0,032_010_320_001,4171,8,26375.979570216317
032_020_080_001_16b,0.0034305119731571545,0.1416143550304696,0.14504486700362673,7864320.0,032_020_080_001,2421,16,26978.643920739272
032_020_010_001_32b,0.003584798177083333,0.15087198943365365,0.15445678761073695,7864320.0,032_020_010_001,881,32,28191.999999999996
032_080_020_001_08b,0.003677474112909818,0.13158389866972964,0.13526137278263944,7864320.0,032_080_020_001,4281,8,28920.833215638937
032_040_080_001_08b,0.0038017121787364545,0.13259388036094605,0.1363955925396825,7864320.0,032_040_080_001,4681,8,29897.881121480674
032_040_040_001_16b,0.004339458615094166,0.13517743492654213,0.1395168935416363,7864320.0,032_040_040_001,3001,16,34126.89117585735
032_020_020_001_32b,0.00447998046875,0.14946899437345565,0.15394897484220565,7864320.0,032_020_020_001,1101,32,35232.0
032_080_040_001_08b,0.005026737057379565,0.12776299426332116,0.13278973132070074,7864320.0,032_080_040_001,5921,8,39531.868775091265
032_080_010_001_16b,0.005109671319101862,0.13379348236291358,0.13890315368201545,7864320.0,032_080_010_001,3461,16,40184.09034823915
032_010_080_001_32b,0.005253092447916666,0.15376665111010274,0.1590197435580194,7864320.0,032_010_080_001,1291,32,41311.99999999999
032_160_010_001_08b,0.005714450417856451,0.1254320817068219,0.13114653212467836,7864320.0,032_160_010_001,6901,8,44940.266710156844
032_010_640_001_08b,0.006055449845542207,0.1472156111461421,0.1532710609916843,7864320.0,032_010_640_001,8011,8,47621.995329294485
032_020_320_001_08b,0.0062504499371794425,0.13214878685151538,0.13839923678869484,7864320.0,032_020_320_001,7701,8,49155.53844995904
032_010_320_001_16b,0.006252894807694656,0.1443807484814897,0.15063364328918435,7864320.0,032_010_320_001,4171,16,49174.76569404924
032_020_160_001_16b,0.006264615678909789,0.13590912229071062,0.14217373796962038,7864320.0,032_020_160_001,4181,16,49266.94237596383
